64,64,,"01/05/12","03/05/12","06:03:45 PM","06:00:19 PM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,6960,7000,"Y",,,,64,1,,,,6960,"Y      ","          ",,"          ",,"N",,"N",0,,
65,65,,"03/05/12","04/05/12","05:37:46 PM","05:35:08 PM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,8120,8120,"Y",,,,65,1,,,,7000,"          ","CREDITCARD",,"          ",,"Y",,"N",0,,
66,66,,"03/05/12","03/05/12","06:30:59 AM","06:24:12 AM","N         ","TRUE","12:00:00 AM",1,39,6,39,1,,2,6960,6960,"Y",,,,66,1,,,,6000,"          ","CREDITCARD",,"          ",,"Y",,"N",0,,
67,67,,"04/05/12","07/05/12","04:59:28 AM","04:58:57 AM","N         ","TRUE","12:00:00 AM",3,56,5,56,1,,2,6000,0,"Y",,,,67,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
68,68,,"04/05/12","06/05/12","05:39:02 PM","05:36:46 PM","N         ","TRUE","12:00:00 AM",1,19,4,19,1,,2,6000,0,"Y",,,,68,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
69,69,,"04/05/12","05/05/12","11:27:10 PM","11:24:58 PM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,6960,10000,"Y",,,,69,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
70,70,,"04/05/12","05/05/12","07:17:24 AM","07:13:10 AM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,8120,8120,"Y",,,,70,1,,,,7000,"          ","CREDITCARD",,"          ",,"Y",,"N",0,,
71,71,,"05/05/12","06/05/12","11:38:35 AM","11:36:11 AM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,8120,10000,"Y",,,,71,1,,,,7000,"Y      ","          ",,"          ",,"Y",,"N",0,,
72,72,,"05/05/12","06/05/12","12:31:04 PM","12:30:23 PM","N         ","TRUE","12:00:00 AM",1,53,5,53,1,,2,6612,7000,"Y",,,,72,1,,,,5700,"Y      ","          ",,"          ","VVIP GUEST TAKE EXTRA CARE                        ","Y",,"N",0,,
73,73,,"04/05/12","06/05/12","06:30:41 AM","06:24:27 AM","N         ","TRUE","12:00:00 AM",2,19,4,19,1,,1,13920,0,"Y",,,,73,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
